# Copyright (c) 2009 The Chromium Authors. All rights reserved.
# Use of this source code is governed by a BSD-style license that can be
# found in the LICENSE file.

# Package list created by list_installed_packages.sh
# Creation time: Wed Aug 26 18:28:39 UTC 2009
#
# Contents of /etc/apt/sources.list:
#   deb file:"/tmp/chromeos_setup" local_packages/
#   deb file:///trunk/repo/apt chromeos main restricted multiverse universe
#   deb http://chromeos-deb.corp.google.com/ubuntu karmic main restricted multiverse universe
#
# package_name version priority section repo_filename
libjasper1 1.900.1-6 optional libs pool/main/j/jasper/libjasper1_1.900.1-6_i386.deb
libjline-java 0.9.94-1ubuntu1 optional libs pool/main/j/jline/libjline-java_0.9.94-1ubuntu1_all.deb
libjpeg62 6b-14build1 optional libs pool/main/libj/libjpeg6b/libjpeg62_6b-14build1_i386.deb
libk5crypto3 1.7dfsg~beta3-1 important libs pool/main/k/krb5/libk5crypto3_1.7dfsg~beta3-1_i386.deb
libkeyutils1 1.2-10 important misc pool/main/k/keyutils/libkeyutils1_1.2-10_i386.deb
libklibc 1.5.15-1 important libs pool/main/k/klibc/libklibc_1.5.15-1_i386.deb
libkrb5-3 1.7dfsg~beta3-1 important libs pool/main/k/krb5/libkrb5-3_1.7dfsg~beta3-1_i386.deb
libkrb5support0 1.7dfsg~beta3-1 important libs pool/main/k/krb5/libkrb5support0_1.7dfsg~beta3-1_i386.deb
liblcms1 1.18.dfsg-1ubuntu1 optional libs pool/main/l/lcms/liblcms1_1.18.dfsg-1ubuntu1_i386.deb
libldap-2.4-2 2.4.17-1ubuntu2 important libs pool/main/o/openldap/libldap-2.4-2_2.4.17-1ubuntu2_i386.deb
liblocale-gettext-perl 1.05-4build1 required perl pool/main/libl/liblocale-gettext-perl/liblocale-gettext-perl_1.05-4build1_i386.deb
liblockfile1 1.08-3 important libs pool/main/libl/liblockfile/liblockfile1_1.08-3_i386.deb
libmagic1 5.03-1ubuntu1 important libs pool/main/f/file/libmagic1_5.03-1ubuntu1_i386.deb
libmng1 1.0.9-1build1 optional libs pool/main/libm/libmng/libmng1_1.0.9-1build1_i386.deb
libmpfr1ldbl 2.4.1-1ubuntu1 standard libs pool/main/m/mpfr/libmpfr1ldbl_2.4.1-1ubuntu1_i386.deb
libmysqlclient15off 5.1.30really5.0.83-0ubuntu1 optional libs pool/main/m/mysql-dfsg-5.0/libmysqlclient15off_5.1.30really5.0.83-0ubuntu1_i386.deb
libncurses5 5.7+20090607-1ubuntu1 required libs pool/main/n/ncurses/libncurses5_5.7+20090607-1ubuntu1_i386.deb
libncursesw5 5.7+20090607-1ubuntu1 important libs pool/main/n/ncurses/libncursesw5_5.7+20090607-1ubuntu1_i386.deb
libnewt0.52 0.52.10-4 important libs pool/main/n/newt/libnewt0.52_0.52.10-4_i386.deb
libnl1 1.1-5 optional libs pool/main/libn/libnl/libnl1_1.1-5_i386.deb
libnspr4-0d 4.8-0ubuntu1 optional libs pool/main/n/nspr/libnspr4-0d_4.8-0ubuntu1_i386.deb
libnss3-1d 3.12.3.1-0ubuntu1 optional libs pool/main/n/nss/libnss3-1d_3.12.3.1-0ubuntu1_i386.deb
libogg0 1.1.3-5build1 optional libs pool/main/libo/libogg/libogg0_1.1.3-5build1_i386.deb
liborbit2 1:2.14.17-0.1 optional libs pool/main/o/orbit2/liborbit2_2.14.17-0.1_i386.deb
libpam-ck-connector 0.3.1-0ubuntu1 optional admin pool/main/c/consolekit/libpam-ck-connector_0.3.1-0ubuntu1_i386.deb
libpam-modules 1.0.1-10ubuntu1 required admin pool/main/p/pam/libpam-modules_1.0.1-10ubuntu1_i386.deb
libpam-mount 1.27-4 extra admin pool/main/libp/libpam-mount/libpam-mount_1.27-4_i386.deb
libpam-runtime 1.0.1-10ubuntu1 required admin pool/main/p/pam/libpam-runtime_1.0.1-10ubuntu1_all.deb
libpam0g 1.0.1-10ubuntu1 required libs pool/main/p/pam/libpam0g_1.0.1-10ubuntu1_i386.deb
libpango1.0-0 1.25.2-0ubuntu1 optional libs pool/main/p/pango1.0/libpango1.0-0_1.25.2-0ubuntu1_i386.deb
libpango1.0-common 1.25.2-0ubuntu1 optional misc pool/main/p/pango1.0/libpango1.0-common_1.25.2-0ubuntu1_all.deb
libparse-debianchangelog-perl 1.1.1-2ubuntu1 important perl pool/main/libp/libparse-debianchangelog-perl/libparse-debianchangelog-perl_1.1.1-2ubuntu1_all.deb
libparted1.8-12 1.8.8.git.2009.06.03-1ubuntu6 standard libs pool/main/p/parted/libparted1.8-12_1.8.8.git.2009.06.03-1ubuntu6_i386.deb
libpci3 1:3.0.0-4ubuntu11 standard libs pool/main/p/pciutils/libpci3_3.0.0-4ubuntu11_i386.deb
libpciaccess0 0.10.6-1 extra libs pool/main/libp/libpciaccess/libpciaccess0_0.10.6-1_i386.deb
libpcre3 7.8-2ubuntu1 important libs pool/main/p/pcre3/libpcre3_7.8-2ubuntu1_i386.deb
libpcrecpp0 7.8-2ubuntu1 optional libs pool/main/p/pcre3/libpcrecpp0_7.8-2ubuntu1_i386.deb
libpcsclite1 1.5.3-1ubuntu1 optional libs pool/main/p/pcsc-lite/libpcsclite1_1.5.3-1ubuntu1_i386.deb
libpixman-1-0 0.14.0-1 optional libs pool/main/p/pixman/libpixman-1-0_0.14.0-1_i386.deb
libpng12-0 1.2.37-1 optional libs pool/main/libp/libpng/libpng12-0_1.2.37-1_i386.deb
libpolkit-gobject-1-0 0.94-0ubuntu1 optional libs pool/main/p/policykit-1/libpolkit-gobject-1-0_0.94-0ubuntu1_i386.deb
libpolkit-backend-1-0 0.94-0ubuntu1 optional libs pool/main/p/policykit-1/libpolkit-backend-1-0_0.94-0ubuntu1_i386.deb
libpopt0 1.14-4 important libs pool/main/p/popt/libpopt0_1.14-4_i386.deb
libppl-c2 0.10.2-2 standard libs pool/main/p/ppl/libppl-c2_0.10.2-2_i386.deb
libppl7 0.10.2-2 standard libs pool/main/p/ppl/libppl7_0.10.2-2_i386.deb
